,test_image,response,resptime,observer,group,type,noise
59,orig2p2.png,10.0,0.726979,Person1,mittel Detailgrad,Original,0
84,orig2p5.png,10.0,0.748229,Person1,mittel Detailgrad,Original,0
121,orig2p8.png,10.0,0.939488,Person1,mittel Detailgrad,Original,0
138,orig2p1.png,10.0,2.296676,Person1,mittel Detailgrad,Original,0
160,orig2p6.png,8.0,1.91738,Person1,mittel Detailgrad,Original,0
216,orig2p7.png,10.0,0.868038,Person1,mittel Detailgrad,Original,0
229,orig2p3.png,10.0,0.911353,Person1,mittel Detailgrad,Original,0
248,orig2p10.png,10.0,0.811833,Person1,mittel Detailgrad,Original,0
351,orig2p4.png,10.0,0.74545,Person1,mittel Detailgrad,Original,0
159,orig2p9.png,10.0,1.61422,Person2,mittel Detailgrad,Original,0
269,orig2p7.png,9.0,1.809412,Person2,mittel Detailgrad,Original,0
303,orig2p6.png,10.0,1.876662,Person2,mittel Detailgrad,Original,0
341,orig2p5.png,9.0,2.828371,Person2,mittel Detailgrad,Original,0
371,orig2p1.png,10.0,1.633183,Person2,mittel Detailgrad,Original,0
391,orig2p4.png,9.0,4.294626,Person2,mittel Detailgrad,Original,0
495,orig2p3.png,10.0,2.033067,Person2,mittel Detailgrad,Original,0
525,orig2p2.png,10.0,1.073065,Person2,mittel Detailgrad,Original,0
601,orig2p8.png,10.0,2.784164,Person2,mittel Detailgrad,Original,0
641,orig2p10.png,10.0,2.225929,Person2,mittel Detailgrad,Original,0
79,orig2p9.png,10.0,1.606777,Person3,mittel Detailgrad,Original,0
134,orig2p7.png,10.0,1.742963,Person3,mittel Detailgrad,Original,0
151,orig2p6.png,10.0,1.526997,Person3,mittel Detailgrad,Original,0
170,orig2p5.png,9.0,1.821922,Person3,mittel Detailgrad,Original,0
185,orig2p1.png,10.0,1.402626,Person3,mittel Detailgrad,Original,0
195,orig2p4.png,10.0,3.160392,Person3,mittel Detailgrad,Original,0
247,orig2p3.png,9.0,2.806979,Person3,mittel Detailgrad,Original,0
262,orig2p2.png,9.0,1.523515,Person3,mittel Detailgrad,Original,0
300,orig2p8.png,9.0,0.907557,Person3,mittel Detailgrad,Original,0
320,orig2p10.png,10.0,1.296437,Person3,mittel Detailgrad,Original,0
44,orig2p10.png,6.0,1.358677,Person4,mittel Detailgrad,Original,0
115,orig2p1.png,8.0,0.806325,Person4,mittel Detailgrad,Original,0
